Rank,Player,Team,Position,Age,Speed
1," Buxton, Byron",,CF,24,30.1
2," Hamilton, Billy",,CF,27,30.1
3," Zimmer, Bradley",,CF,25,29.9
4," Gordon, Dee",,2B,29,29.7
5," DeShields, Delino",,LF,25,29.5
6," Rosario, Amed",,SS,22,29.5
7," Cordero, Franchy",,CF,23,29.5
8," Broxton, Keon",,CF,27,29.5
9," Tapia, Raimel",,RF,23,29.4
10," Margot, Manuel",,CF,23,29.4
11," Turner, Trea",,SS,24,29.3
12," Davis, Rajai",,CF,37,29.2
13," Smith, Mallex",,CF,24,29.2
14," Fisher, Derek",,LF,24,29.2
15," Engel, Adam",,CF,26,29.2
16," Moncada, Yoan",,2B,22,29.2
17," Cain, Lorenzo",,CF,31,29.1
18," Ervin, Phillip",,CF,25,29.1
19," Bourjos, Peter",,CF,30,29
20," Adams, Lane",,CF,28,29
21," Difo, Wilmer",,SS,25,29
22," Marte, Ketel",,SS,24,29
23," Kiermaier, Kevin",,CF,27,29
24," Williams, Nick",,RF,24,28.9
25," Albies, Ozzie",,2B,20,28.9
26," Florimon, Pedro",,CF,31,28.9
27," Eaton, Adam",,CF,29,28.9
28," Merrifield, Whit",,2B,28,28.9
29," Alcantara, Arismendy",,2B,26,28.9
30," Pirela, Jose",,LF,28,28.9
31," Granite, Zack",,CF,25,28.9
32," Dyson, Jarrod",,CF,33,28.8
33," Adduci, Jim",,RF,32,28.8
34," Hernandez, Cesar",,2B,27,28.8
35," Blanco, Gregor",,CF,34,28.8
36," Yelich, Christian",,CF,26,28.8
37," Fuentes, Rey",,CF,26,28.8
38," Santana, Danny",,LF,27,28.8
39," Orlando, Paulo",,RF,32,28.7
40," Powell, Boog",,CF,24,28.7
41," Taylor, Chris",,CF,27,28.7
42," Pham, Tommy",,LF,29,28.7
43," Hazelbaker, Jeremy",,CF,30,28.7
44," Gardner, Brett",,LF,34,28.7
45," Anderson, Tim",,SS,24,28.7
46," Gentry, Craig",,RF,34,28.6
47," Wade, Tyler",,2B,23,28.6
48," Hanson, Alen",,2B,25,28.6
49," Hernandez, Gorkys",,CF,30,28.6
50," Swanson, Dansby",,SS,23,28.6
51," Urena, Richard",,SS,21,28.6
52," Jones, JaCoby",,CF,25,28.6
53," Myers, Wil",,1B,27,28.6
54," McCutchen, Andrew",,CF,31,28.6
55," Realmuto, J.T.",,C,26,28.5
56," Bellinger, Cody",,1B,22,28.5
57," Marisnick, Jake",,CF,26,28.5
58," Pence, Hunter",,RF,34,28.5
59," Young Jr., Eric",,LF,32,28.5
60," Story, Trevor",,SS,25,28.5
61," Trout, Mike",,CF,26,28.5
62," Happ, Ian",,CF,23,28.5
63," Martin, Leonys",,CF,29,28.5
64," Frazier, Clint",,LF,23,28.5
65," Crawford, J.P.",,3B,22,28.4
66," Chapman, Matt",,3B,24,28.4
67," Phillips, Brett",,CF,23,28.4
68," Gamel, Ben",,LF,25,28.4
69," Altherr, Aaron",,LF,26,28.4
70," Nimmo, Brandon",,LF,24,28.4
71," Spangenberg, Cory",,3B,26,28.4
72," Toles, Andrew",,LF,25,28.4
73," Polanco, Jorge",,SS,24,28.4
74," Bader, Harrison",,CF,23,28.4
75," Schebler, Scott",,RF,27,28.4
76," Cordoba, Allen",,LF,22,28.4
77," Bogaerts, Xander",,SS,25,28.3
78," Mahtook, Mikie",,CF,28,28.3
79," Garcia, Leury",,CF,26,28.3
80," Robertson, Daniel",,RF,32,28.3
81," Baez, Javier",,SS,25,28.3
82," Gregorius, Didi",,SS,27,28.3
83," Almonte, Abraham",,RF,28,28.3
84," Peraza, Jose",,2B,23,28.2
85," Ozuna, Marcell",,LF,27,28.2
86," Lagares, Juan",,CF,28,28.2
87," Benintendi, Andrew",,LF,23,28.2
88," Presley, Alex",,RF,32,28.2
89," Fowler, Dexter",,CF,31,28.2
90," Ellsbury, Jacoby",,CF,34,28.2
91," Escobar, Alcides",,SS,31,28.2
92," Bryant, Kris",,3B,25,28.2
93," Revere, Ben",,LF,29,28.2
94," Hoying, Jared",,CF,28,28.2
95," Souza Jr., Steven",,RF,28,28.2
96," Kepler, Max",,RF,24,28.2
97," Peterson, Jace",,LF,27,28.1
98," Diaz, Yandy",,3B,26,28.1
99," Blackmon, Charlie",,CF,31,28.1
100," Puig, Yasiel",,RF,27,28.1
101," Ahmed, Nick",,SS,27,28.1
102," Marte, Starling",,LF,29,28.1
103," Taylor, Michael A.",,CF,26,28.1
104," Escobar, Eduardo",,3B,28,28.1
105," Betts, Mookie",,RF,25,28.1
106," Lindor, Francisco",,SS,24,28.1
107," Semien, Marcus",,SS,27,28.1
108," Gomez, Carlos",,CF,32,28.1
109," Ramirez, Jose",,3B,25,28.1
110," Dozier, Brian",,2B,30,28.1
111," Garcia, Avisail",,RF,26,28
112," Odor, Rougned",,2B,23,28
113," Grossman, Robbie",,DH,28,28
114," Iglesias, Jose",,SS,27,28
115," Gonzalez, Erik",,2B,26,28
116," Diaz, Aledmys",,SS,27,28
117," Lin, Tzu-Wei",,3B,23,28
118," Slater, Austin",,LF,25,28
119," Riddle, JT",,SS,26,28
120," Harper, Bryce",,RF,25,28
121," Dickerson, Corey",,LF,28,28
122," Torreyes, Ronald",,2B,25,28
123," Devers, Rafael",,3B,21,28
124," Bonifacio, Jorge",,RF,24,28
125," Hicks, Aaron",,CF,28,28
126," Romine, Andrew",,CF,32,27.9
127," Altuve, Jose",,2B,27,27.9
128," Reynolds, Matt",,3B,27,27.9
129," Pollock, A.J.",,CF,30,27.9
130," Pillar, Kevin",,CF,28,27.9
131," Rutledge, Josh",,3B,28,27.9
132," Heredia, Guillermo",,LF,26,27.9
133," Span, Denard",,CF,33,27.9
134," Maybin, Cameron",,CF,30,27.9
135," Perez, Hernan",,LF,26,27.9
136," Reyes, Jose",,SS,34,27.9
